Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
08224/01/30;5;169;;;;Competitive;13.07.2026
08227/01/35;0;110;;;;Competitive;13.07.2026
08227/01/66;0;73;;31/08/2026;;Competitive;13.07.2026
08408/01/30;0;251;;;;Competitive;13.07.2026
08408/03/30;0;37;30/09/2026;;;Competitive;13.07.2026
08408/05/30;0;147;30/09/2026;;;Competitive;13.07.2026
08408/07/30;1;54;30/09/2026;;;Competitive;13.07.2026
08408/10/30;0;79;15/10/2026;;;Competitive;13.07.2026
08424/01/30;0;113;;;;Competitive;13.07.2026
08426/01/02;0;100;;31/08/2026;;Competitive;13.07.2026
08426/01/30;0;64;30/09/2026;31/08/2026;;Competitive;13.07.2026
08524/01/30;3;34;;;;Competitive;13.07.2026
08526/01/30;1;0;;;Dropped out;;13.07.2026
08724/03/30;0;65;;;;Competitive;13.07.2026
08927/01/35;11;0;;;Dropped out;;13.07.2026
08927/01/66;10;72;;;;Competitive;13.07.2026
08927/02/66;20;0;;;Dropped out;;13.07.2026
09100/01/30;0;495;15/10/2026;;;Competitive;13.07.2026
09100/01/31;0;165;15/10/2026;03/08/2026;;Competitive;13.07.2026
09101/01/30;0;165;15/10/2026;;;Competitive;13.07.2026
09101/01/31;0;426;;;;Competitive;13.07.2026
09101/02/12;41;0;;;Dropped out;;13.07.2026
09101/02/30;0;134;;;;Competitive;13.07.2026
09101/02/31;0;179;;;;Competitive;13.07.2026
09119/06/30;0;126;;;;Competitive;13.07.2026
09119/06/31;0;86;;;;Competitive;13.07.2026
09119/11/30;0;149;;;;Competitive;13.07.2026
09119/11/31;0;134;;;;Competitive;13.07.2026
09119/16/30;1;118;;;;Competitive;13.07.2026
09119/16/31;0;78;;;;Competitive;13.07.2026
09119/21/30;0;106;;;;Competitive;13.07.2026
09119/21/31;0;75;;;;Competitive;13.07.2026
09201/01/30;0;389;;;;Competitive;13.07.2026
09201/01/31;0;366;;;;Competitive;13.07.2026
09216/02/41;0;58;;;;Essential;13.07.2026
09216/02/96;0;38;;;;Essential;13.07.2026
09217/04/02;0;128;;;;Competitive;13.07.2026
09217/04/30;0;310;;;;Competitive;13.07.2026
09217/04/31;0;134;15/10/2026;31/08/2026;;Competitive;13.07.2026
09217/04/36;0;178;;;;Competitive;13.07.2026
09217/04/97;0;40;;03/08/2026;;Competitive;13.07.2026
09218/04/02;0;221;03/08/2026;27/07/2026;;Competitive;13.07.2026
09218/04/30;0;189;15/09/2026;03/08/2026;;Competitive;13.07.2026
09218/04/31;0;104;15/10/2026;03/08/2026;;Competitive;13.07.2026
09218/04/36;0;193;;;;Competitive;13.07.2026
09218/04/97;0;152;15/09/2026;;;Competitive;13.07.2026
09233/01/30;0;91;;;;Competitive;13.07.2026
09233/01/31;0;500;;;;Competitive;13.07.2026
09239/02/30;0;87;15/10/2026;;;Competitive;13.07.2026
09239/11/30;0;159;03/08/2026;27/07/2026;;Competitive;13.07.2026
09239/11/31;0;53;31/08/2026;27/07/2026;;Competitive;13.07.2026
09240/01/02;0;93;10/08/2026;27/07/2026;;Competitive;13.07.2026
09240/01/30;0;102;03/08/2026;15/07/2026;;Competitive;13.07.2026
09240/01/31;0;73;03/08/2026;15/07/2026;;Competitive;13.07.2026
09242/02/30;0;65;03/08/2026;15/07/2026;;Competitive;13.07.2026
09242/02/31;0;63;;03/08/2026;;Competitive;13.07.2026
09243/01/15;0;122;;;;Competitive;13.07.2026
09243/01/97;0;86;;;;Competitive;13.07.2026
09243/02/15;0;139;;;;Competitive;13.07.2026
09243/02/97;0;98;15/10/2026;;;Competitive;13.07.2026
09434/04/31;0;0;;;Liquidation;Neutral;13.07.2026
09437/01/30;0;0;15/10/2026;;;Competitive;13.07.2026
09539/01/30;0;73;15/10/2026;;;Competitive;13.07.2026
09539/01/31;0;61;;;;Competitive;13.07.2026
09739/02/30;0;62;15/10/2026;;;Competitive;13.07.2026
09739/02/31;0;78;;;;Competitive;13.07.2026
09831/01/30;0;105;;;;Competitive;13.07.2026
09831/01/31;0;83;;;;Competitive;13.07.2026
09831/02/30;0;149;;;;Competitive;13.07.2026
09831/02/31;0;106;;;;Competitive;13.07.2026
